date,flu,bird flu,cure the flu,flu season,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,flu hawaii,flu vs cold,flu and fever,flu care,flu headache,flu symptoms 2018,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza symptoms,the flu virus,reduce fever,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu symptoms 2016,swine flu,flu cough,contagious flu,flu report,signs of flu,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,flu map,cdc flu,taking temperature,flu symptoms 2019,flu shot symptoms,keto flu,flu contagious,bronchitis,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu shot side effects,treat flu,body temperature,h1n1 flu
2011-08,13.0,28.0,0.0,29.0,55.0,51.0,0.0,37.0,0.0,17.0,16.0,0.0,0.0,0.0,30.0,0.0,37.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,50.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,50.0,35.0,55.0,38.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,0.0,0.0,0.0,35.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,31.0,26.0
2011-09,13.0,28.0,0.0,29.0,55.0,51.0,0.0,37.0,0.0,17.0,16.0,0.0,0.0,0.0,30.0,0.0,37.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,50.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,50.0,35.0,55.0,38.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,0.0,0.0,0.0,35.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,31.0,26.0
2011-10,13.0,28.0,0.0,29.0,55.0,51.0,0.0,37.0,0.0,17.0,16.0,0.0,0.0,0.0,30.0,0.0,37.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,50.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,50.0,35.0,55.0,38.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,0.0,0.0,0.0,35.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,31.0,26.0
2011-11,13.0,28.0,0.0,29.0,55.0,51.0,0.0,37.0,0.0,17.0,16.0,0.0,0.0,0.0,30.0,0.0,37.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,50.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,50.0,35.0,55.0,38.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,0.0,0.0,0.0,35.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,31.0,26.0
2011-12,13.0,28.0,0.0,29.0,55.0,51.0,0.0,37.0,0.0,17.0,16.0,0.0,0.0,0.0,30.0,0.0,37.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,50.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,50.0,35.0,55.0,38.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,0.0,0.0,0.0,35.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,31.0,26.0
2011-13,13.0,28.0,0.0,29.0,55.0,51.0,0.0,37.0,0.0,17.0,16.0,0.0,0.0,0.0,30.0,0.0,37.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,50.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,50.0,35.0,55.0,38.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,0.0,0.0,0.0,35.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,31.0,26.0
2011-14,16.0,28.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,14.0,20.0,0.0,24.0,0.0,30.0,52.0,0.0,0.0,0.0,32.0,0.0,28.0,0.0,0.0,0.0,6.0,15.0,0.0,56.0,0.0,0.0,0.0,0.0,58.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,50.0,53.0,27.0,38.0,34.0,0.0,0.0,52.0,44.0,52.0,0.0,0.0,0.0,0.0,0.0,55.0,70.0,0.0,0.0,0.0,48.0,0.0,53.0,0.0,0.0,0.0,44.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,41.0,0.0
2011-15,16.0,28.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,14.0,20.0,0.0,24.0,0.0,30.0,52.0,0.0,0.0,0.0,32.0,0.0,28.0,0.0,0.0,0.0,6.0,15.0,0.0,56.0,0.0,0.0,0.0,0.0,58.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,50.0,53.0,27.0,38.0,34.0,0.0,0.0,52.0,44.0,52.0,0.0,0.0,0.0,0.0,0.0,55.0,70.0,0.0,0.0,0.0,48.0,0.0,53.0,0.0,0.0,0.0,44.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,41.0,0.0
2011-16,16.0,28.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,14.0,20.0,0.0,24.0,0.0,30.0,52.0,0.0,0.0,0.0,32.0,0.0,28.0,0.0,0.0,0.0,6.0,15.0,0.0,56.0,0.0,0.0,0.0,0.0,58.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,50.0,53.0,27.0,38.0,34.0,0.0,0.0,52.0,44.0,52.0,0.0,0.0,0.0,0.0,0.0,55.0,70.0,0.0,0.0,0.0,48.0,0.0,53.0,0.0,0.0,0.0,44.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,41.0,0.0
2011-17,16.0,28.0,0.0,0.0,62.0,38.0,0.0,0.0,0.0,14.0,20.0,0.0,24.0,0.0,30.0,52.0,0.0,0.0,0.0,32.0,0.0,28.0,0.0,0.0,0.0,6.0,15.0,0.0,56.0,0.0,0.0,0.0,0.0,58.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,50.0,53.0,27.0,38.0,34.0,0.0,0.0,52.0,44.0,52.0,0.0,0.0,0.0,0.0,0.0,55.0,70.0,0.0,0.0,0.0,48.0,0.0,53.0,0.0,0.0,0.0,44.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,41.0,0.0
2011-18,9.0,0.0,0.0,0.0,54.0,27.0,45.0,0.0,0.0,7.0,29.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,27.0,59.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,29.0,0.0,37.0,22.0,0.0,42.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,37.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,59.0,53.0,0.0,0.0,0.0,0.0,44.0,0.0
2011-19,9.0,0.0,0.0,0.0,54.0,27.0,45.0,0.0,0.0,7.0,29.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,27.0,59.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,29.0,0.0,37.0,22.0,0.0,42.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,37.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,59.0,53.0,0.0,0.0,0.0,0.0,44.0,0.0
2011-20,9.0,0.0,0.0,0.0,54.0,27.0,45.0,0.0,0.0,7.0,29.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,27.0,59.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,29.0,0.0,37.0,22.0,0.0,42.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,37.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,59.0,53.0,0.0,0.0,0.0,0.0,44.0,0.0
2011-21,9.0,0.0,0.0,0.0,54.0,27.0,45.0,0.0,0.0,7.0,29.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,27.0,59.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,29.0,0.0,37.0,22.0,0.0,42.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,37.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,59.0,53.0,0.0,0.0,0.0,0.0,44.0,0.0
2011-22,9.0,0.0,0.0,0.0,54.0,27.0,45.0,0.0,0.0,7.0,29.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,27.0,59.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,29.0,0.0,37.0,22.0,0.0,42.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,37.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,59.0,53.0,0.0,0.0,0.0,0.0,44.0,0.0
2011-23,4.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,28.0,0.0,0.0,14.0,0.0,23.0,0.0,0.0,0.0,44.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,44.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
2011-24,4.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,28.0,0.0,0.0,14.0,0.0,23.0,0.0,0.0,0.0,44.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,44.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
2011-25,4.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,28.0,0.0,0.0,14.0,0.0,23.0,0.0,0.0,0.0,44.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,44.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
