date,washington_flu,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,washington state flu,treat the flu,seattle flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,cold symptoms,thermoscan,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,symptoms,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,stomach,how long is flu contagious,treatment for flu,cdc flu,taking temperature,exposed to flu,flu length,bronchitis,get over the flu,stomach flu symptoms,what is the flu,oscillococcinum,cold or flu,flu medicine,flu shot side effects,flu complications,signs of the flu,treat flu,body temperature,target_1,target_2,target_4,target_8
2010-50,0.6475489999999999,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,0.38709699999999997,2.45902,1.21906,2.16644
2010-51,0.38709699999999997,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,2.45902,1.5224,0.721046,4.1424400000000015
2010-52,2.45902,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,1.5224,1.21906,1.81388,3.80721
2011-01,1.5224,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,1.21906,0.721046,2.81109,3.4690300000000005
2011-02,1.21906,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,0.721046,1.81388,2.16644,3.04946
2011-03,0.721046,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,1.81388,2.81109,4.1424400000000015,3.6427099999999997
2011-04,1.81388,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,2.81109,2.16644,3.80721,3.06081
2011-05,2.81109,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,2.16644,4.1424400000000015,3.4690300000000005,1.5469600000000001
2011-06,2.16644,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,4.1424400000000015,3.80721,3.04946,0.7985800000000001
2011-07,4.1424400000000015,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,48.0,2.0,2.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,24.0,24.0,8.0,0.0,0.0,0.0,20.0,8.0,4.0,9.0,11.0,13.0,1.0,3.0,0.0,0.0,11.0,22.0,0.0,11.0,21.0,28.0,0.0,0.0,0.0,0.0,11.0,23.0,1.0,37.0,0.0,9.0,0.0,9.0,0.0,15.0,2.0,33.0,4.0,12.0,6.0,0.0,13.0,0.0,77.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,8.0,24.0,8.0,0.0,0.0,53.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,65.0,3.80721,3.4690300000000005,3.6427099999999997,0.9704969999999999
