date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,flu report,swine flu symptoms,oscillococcinum,bronchitis,contagious flu,cdc flu,flu fever,vermont flu,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,flu vs cold,taking temperature,uvm flu shots,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,flu symptoms 2017,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,flu and fever,signs of flu,flu care,flu children,thermoscan,flu treatment,cdc flu map,the flu virus,how long does flu last,human temperature,how long is flu contagious,is flu contagious,how long is the flu contagious,cold or flu,flu map,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,signs of the flu,how long flu,flu or cold,fever cough,ear thermometer
2011-09-01,12,0,0,5,0,0,11,16,0,0,0,0,23,0,0,0,0,0,0,45,0,65,0,0,0,0,21,0,0,0,0,70,0,33,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,7,0,62,0,0,0,16,0,0,0
2011-10-01,16,0,0,0,0,0,39,0,0,0,0,0,65,0,0,0,34,0,0,43,0,0,0,0,0,0,45,0,0,0,0,67,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,20,0,0,0,0,0,0,0
2011-11-01,9,29,0,5,0,0,22,0,0,0,0,0,22,36,0,0,0,0,36,0,0,0,86,0,0,0,35,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2011-12-01,4,28,0,5,67,0,7,0,0,0,0,0,43,0,0,0,34,0,0,0,0,0,0,90,0,0,49,0,0,0,41,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,62,0,0,0,0,52,10,35,0,0,0,0,0,0,0,0
2012-01-01,10,26,56,0,0,0,10,0,0,0,0,63,60,0,0,39,63,0,0,39,0,57,0,0,0,0,64,38,0,0,37,0,0,29,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0,0,0,0
2012-02-01,11,40,100,0,0,40,7,0,0,0,0,0,41,100,0,40,64,63,100,40,63,0,0,0,71,0,65,0,49,0,0,0,0,0,0,0,0,40,0,0,0,76,0,0,0,0,0,0,0,43,0,0,0,0,0,0,13,100,28,0,53,0,0,0,0,0
2012-03-01,9,0,55,5,0,57,6,14,0,0,0,0,69,32,0,0,0,0,32,0,0,0,0,0,0,0,27,0,0,0,0,0,0,56,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,0,0,14,0,100,0
2012-04-01,10,0,29,0,0,0,7,0,0,100,0,0,71,34,0,40,32,0,34,40,0,0,0,0,0,0,75,39,49,0,0,0,0,59,64,0,0,40,0,0,0,0,32,0,80,0,0,0,0,0,59,0,0,100,0,0,13,0,28,87,0,0,0,0,0,0
2012-05-01,2,27,29,5,0,41,0,0,0,0,0,0,82,0,0,0,0,0,0,41,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,7,0,28,0,0,0,0,0,0,0
2012-06-01,4,0,0,5,0,45,0,0,0,0,0,0,69,0,46,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,68,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
2012-07-01,6,0,0,5,0,0,7,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,45,0
2012-08-01,7,0,0,0,0,42,7,0,77,0,87,0,42,0,0,42,0,0,0,0,0,0,0,0,0,0,24,0,0,0,40,0,0,61,0,0,0,42,15,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,43,0
