date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,flu shots,dangerous fever,break a fever,how long is the flu contagious,medicine for the flu,treating flu,flu like symptoms,flu how long,fever cough,flu and cold,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,flu iowa,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,flu 2018,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,flu symptoms 2018,human temperature,high fever,medicine for flu,flu treatments,cold vs flu,influenza type a,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,influenza a,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,flu in iowa,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,treatment for flu,cdc flu,taking temperature,flu contagious,flu length,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu shot side effects,flu complications,signs of the flu,treat flu,body temperature
2011-01-01,19,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,20,0,32,0,22,19,0,0,10,30,0,40,0,6,23,0,24,12,12,0,2,2,8,0,0,0,38,0,0,0,20,20,0,0,0,37,7,4,0,0,33,0,0,0,0,14,48,7,8,2,0,0,0,0,0,0,0,100,16,0,18,0,37,0,51,17,0,17,5,0,38,5,0,0,0,0,20,0,20,0,32
2011-02-01,21,0,0,3,3,0,14,1,0,0,11,0,0,0,0,0,0,17,21,8,0,17,17,0,0,10,20,0,10,0,6,18,0,24,0,43,0,0,0,2,0,0,0,0,40,0,0,7,20,39,0,0,0,13,0,0,0,0,0,0,67,0,14,25,0,18,2,4,2,16,0,0,0,0,42,0,0,0,19,38,19,17,0,17,0,6,0,56,0,27,0,0,27,21,0,0,0,73
2011-03-01,12,0,0,0,3,0,12,0,0,0,0,0,10,0,0,0,0,23,15,8,0,13,10,0,0,0,28,9,9,0,11,16,0,33,11,11,0,0,4,3,0,0,36,36,0,0,0,12,12,35,0,35,35,15,0,0,0,0,30,0,30,0,6,16,0,15,3,2,0,15,0,0,0,0,15,0,0,0,0,17,0,32,0,16,0,5,0,59,5,25,25,0,0,0,0,0,19,78
2011-04-01,9,0,3,0,0,0,4,0,0,0,16,0,10,0,0,0,31,8,0,8,0,8,5,2,0,0,9,0,10,0,0,8,0,11,0,28,0,0,0,2,0,0,0,0,0,0,0,6,13,0,0,0,0,3,3,0,0,0,31,0,31,0,0,10,0,5,4,0,0,0,0,0,15,0,93,0,16,17,17,0,0,0,0,0,16,0,0,68,0,76,0,0,0,0,0,0,0,49
2011-05-01,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,2,0,0,0,0,0,0,0,0,6,0,35,0,17,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,32,0,7,7,0,2,4,0,0,0,0,16,0,0,32,0,0,0,18,18,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,44
2011-06-01,3,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,6,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,73,0,0,8,0,2,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,12,0,60,0,0,0,0,0,0,0,50
2011-07-01,3,0,0,8,0,0,3,0,0,0,13,0,0,0,0,0,0,9,19,0,0,2,4,0,0,0,17,0,0,0,0,13,0,21,0,14,14,0,0,3,0,0,0,0,0,0,0,8,23,0,0,0,0,0,0,0,4,0,0,0,76,0,0,12,0,2,2,2,0,18,0,0,0,0,19,0,0,0,0,0,0,0,0,0,20,6,0,13,0,0,0,0,0,0,0,0,23,45
2011-08-01,7,0,0,0,0,0,4,0,0,0,11,0,10,0,0,0,0,23,0,0,0,4,2,0,0,9,9,0,0,0,5,5,0,11,0,34,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,61,0,0,7,0,0,2,0,0,0,0,0,15,0,31,0,0,0,17,0,0,16,0,0,0,5,0,18,0,25,0,0,0,0,0,0,0,37
2011-09-01,14,0,0,3,0,0,4,0,0,0,47,0,9,0,0,0,0,0,0,7,0,7,6,0,0,0,17,9,9,0,0,5,0,20,0,0,0,0,0,23,0,0,0,0,0,0,0,6,11,0,0,0,0,3,3,0,0,0,0,0,28,0,6,6,0,2,0,5,0,0,14,0,28,0,36,0,14,0,16,16,0,0,0,29,29,0,0,36,0,23,0,0,0,17,0,18,0,61
2011-10-01,26,0,0,3,0,0,7,0,0,0,71,9,0,0,0,0,0,20,7,13,0,16,9,0,0,0,12,0,16,0,5,19,5,19,10,38,0,0,2,44,0,0,0,31,31,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,6,6,11,6,2,2,6,0,13,0,0,39,0,27,13,0,0,15,15,0,0,0,27,14,4,0,38,0,22,0,22,0,57,0,0,0,41
