date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,indiana flu,high fever,flu in indiana,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,cold symptoms,thermoscan,normal body temperature,how to treat the flu,flu virus,cold,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2011-01-01,16,43,0,43,0,23,1,0,1,6,0,2,0,0,0,0,53,0,11,0,0,18,0,0,6,18,4,7,0,9,9,0,27,58,0,25,16,10,0,0,3,4,4,0,9,35,8,8,0,0,9,9,23,9,9,0,56,12,12,12,24,47,0,3,1,15,11,0,7,7,7,0,14,18,18,18,0,8,0,0,16,19,10,9,0,0,26,26,13,15,22,15,15,14,0,43
2011-02-01,15,0,89,0,45,26,2,0,2,0,0,3,0,2,0,0,61,23,0,0,0,15,0,0,2,18,0,9,5,19,0,0,28,51,17,0,17,5,0,0,2,4,0,0,15,40,16,0,0,19,0,19,19,9,0,18,54,0,24,0,49,43,1,2,1,0,15,0,15,0,11,0,25,36,18,18,0,16,0,8,24,20,0,19,10,0,27,27,27,30,0,15,0,0,0,51
2011-03-01,8,0,0,42,0,12,1,1,1,0,2,0,0,0,0,0,48,11,11,0,0,18,0,0,5,15,4,4,0,9,0,9,36,89,0,16,16,2,0,0,2,3,0,0,3,26,8,0,0,0,9,0,18,0,9,0,47,0,0,0,12,40,0,1,0,7,0,7,7,0,0,0,24,35,0,17,0,15,0,8,8,0,0,9,9,13,13,25,19,29,14,36,0,0,0,76
2011-04-01,5,0,0,0,0,9,0,0,0,2,2,2,0,0,2,0,39,11,0,0,0,6,1,0,1,4,0,0,0,0,0,9,27,66,0,16,16,2,0,0,0,4,0,0,5,27,8,8,0,0,9,9,0,0,0,0,48,0,12,0,0,40,0,1,0,7,7,0,7,0,7,0,10,18,0,18,0,8,0,0,0,0,0,9,0,0,0,13,26,15,15,0,0,0,0,35
2011-05-01,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,7,0,0,2,4,4,0,0,0,0,0,18,50,0,17,0,0,0,0,0,0,0,0,4,23,8,0,0,0,0,9,28,0,0,0,26,12,24,0,12,33,0,1,0,7,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,10,0,10,0,0,52,13,0,0,0,15,0,0,0,71
2011-06-01,1,0,0,0,48,5,0,0,2,2,0,0,0,0,0,2,33,12,0,0,0,2,0,0,0,5,5,0,0,0,0,0,20,37,0,18,0,2,2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,10,0,34,0,0,0,0,31,0,0,0,16,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,31
2011-07-01,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,9,0,19,0,25,0,0,31,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,46
2011-08-01,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,11,11,0,0,12,0,0,0,9,4,4,0,9,0,9,13,41,0,0,0,6,0,0,0,0,0,0,3,15,8,0,0,0,0,0,0,0,0,0,34,0,0,0,0,36,0,1,0,14,14,0,0,0,0,0,0,17,0,0,0,8,0,0,0,0,0,0,0,0,19,0,0,14,0,29,0,0,0,34
2011-09-01,13,0,0,0,0,2,0,1,0,17,2,2,0,0,0,1,42,0,0,0,0,5,1,0,2,4,0,4,0,0,0,9,30,46,0,23,0,22,0,0,0,3,0,0,12,14,14,0,7,0,0,0,9,0,8,0,33,11,11,0,11,35,0,0,0,17,7,0,7,0,0,0,26,17,17,0,0,7,0,0,0,9,9,9,0,0,18,12,18,14,14,14,0,0,0,39
2011-10-01,19,0,0,39,39,11,1,0,3,21,0,0,0,0,0,1,48,10,39,0,10,12,0,0,1,4,0,10,0,8,0,0,37,45,0,15,15,41,0,0,1,3,3,0,3,17,7,0,0,0,8,8,0,0,0,0,24,0,11,0,0,37,0,1,0,36,7,0,6,0,6,0,6,0,0,0,16,0,0,0,0,0,0,8,0,0,18,12,12,0,13,13,0,0,0,64
