date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,symptoms of bronchitis,oscillococcinum,bronchitis,contagious flu,flu fever,influenza,influenza incubation period,stomach flu symptoms,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,dog flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,i have the flu,fever flu,how long does the flu last,cold vs flu,cure the flu,signs of flu,flu care,flu children,influenza a and b,thermoscan,flu treatment,influenza a,cdc flu map,the flu virus,how long does flu last,human temperature,is flu contagious,flu symptoms,flu symptoms in kids,flu symptoms 2019,dangerous fever,body temperature,flu cough,keto flu,how long flu,fever cough,ear thermometer
2011-10-01,28,40,20,10,0,0,38,40,0,0,0,53,0,0,11,0,0,32,0,0,32,0,0,0,0,0,0,53,0,0,0,35,28,0,32,0,0,0,0,0,0,68,0,0,0,0,0,0,0,75,0,0,0,12,0,0,0,32,0,0,40,0,68
2011-11-01,19,0,20,29,0,0,14,79,0,70,0,17,0,0,7,0,53,63,0,31,63,0,0,0,0,0,0,32,0,67,0,0,0,8,33,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,32,0,0,79,41,0
2011-12-01,24,0,39,29,20,0,7,0,0,69,0,43,0,76,5,0,0,0,0,90,0,0,0,0,0,0,0,57,0,0,0,0,0,0,32,0,0,76,99,0,0,0,0,0,0,0,39,0,0,0,60,0,0,17,0,0,0,21,0,0,0,0,100
2012-01-01,13,0,53,9,0,0,6,0,0,0,53,16,0,0,6,0,0,0,0,84,0,0,0,0,0,0,0,57,50,0,0,31,0,14,29,0,0,0,0,0,0,0,0,0,48,0,0,8,0,0,0,0,0,10,0,0,0,57,0,0,0,0,0
2012-02-01,17,37,27,18,0,0,6,0,0,64,0,48,0,0,14,0,100,0,0,57,0,0,0,0,0,0,0,44,0,63,0,0,0,22,30,0,0,0,0,0,0,62,0,0,49,0,0,0,0,0,57,0,0,11,0,0,88,39,0,0,0,38,0
2012-03-01,11,37,0,18,19,35,13,0,0,64,0,72,44,71,31,69,0,29,44,56,29,0,0,0,0,0,0,92,51,0,0,0,0,18,29,0,0,71,0,0,0,0,0,0,74,0,0,16,0,0,0,0,0,21,0,0,0,0,0,0,0,38,62
2012-04-01,9,38,36,14,0,0,0,37,0,0,0,24,0,0,11,0,100,0,0,29,0,0,0,0,0,0,0,83,0,0,0,0,0,7,60,0,92,0,0,0,0,0,0,0,0,0,37,6,0,0,0,0,0,21,0,0,0,30,0,0,37,0,0
2012-05-01,13,0,19,0,0,0,0,39,0,68,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,75,0,31,0,0,0,0,0,0,31,0,0,0,0,75,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,21,0,0,39,40,0
2012-06-01,4,0,42,10,0,0,0,0,0,0,0,37,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,37,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2012-07-01,5,0,0,10,21,0,7,0,0,70,0,35,0,0,3,0,0,0,0,31,0,0,0,0,0,0,0,37,0,0,0,35,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,22,0,0,0,0,0
2012-08-01,8,0,38,0,0,0,7,0,0,0,0,33,0,75,5,0,0,0,0,29,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2012-09-01,28,0,18,9,0,35,13,0,0,0,0,40,43,0,10,0,0,29,43,28,29,0,0,0,0,0,0,53,51,0,0,0,0,7,30,0,91,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,21,0,0,0,39,0,98,0,0,0
2012-10-01,34,33,41,48,0,31,26,33,0,0,0,58,0,0,7,0,44,26,0,25,26,0,0,0,0,0,58,52,46,0,0,29,22,19,53,0,0,0,0,0,0,0,0,57,0,0,0,5,0,0,100,46,0,29,0,0,0,35,0,0,33,0,0
2012-11-01,26,0,33,12,0,0,20,34,0,0,0,51,40,64,8,0,0,26,40,51,26,0,0,0,0,0,0,22,0,56,0,0,23,7,27,0,0,64,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0,0,0,44,0,0,34,34,0
2012-12-01,29,33,33,20,0,0,6,34,0,0,50,44,0,0,22,0,0,26,0,26,26,80,0,0,0,0,0,35,0,0,0,0,23,19,0,0,0,0,0,0,0,57,0,58,44,0,0,10,0,0,0,0,0,24,0,0,0,27,0,0,34,0,0
2013-01-01,70,45,59,76,0,0,31,90,0,0,0,72,72,58,52,0,0,24,72,34,24,0,0,0,0,0,0,75,41,51,0,52,20,32,60,0,75,58,76,0,0,100,100,52,40,0,0,34,0,57,0,0,60,86,0,0,0,32,100,0,90,31,0
2013-02-01,32,32,32,59,16,0,14,32,0,56,48,42,0,63,30,61,43,0,0,25,0,0,0,0,0,62,0,51,0,55,0,0,22,22,0,0,0,63,0,62,0,0,54,56,43,0,0,24,0,60,97,0,0,28,0,0,0,17,0,0,32,33,0
2013-03-01,14,29,22,11,0,0,0,29,0,0,43,38,0,0,16,0,39,23,0,22,23,0,0,0,0,0,0,62,0,49,0,0,0,9,24,0,0,0,73,0,0,0,0,0,0,0,0,7,0,0,45,0,0,17,0,0,0,31,0,0,29,30,0
2013-04-01,17,0,36,7,37,0,0,29,0,0,0,38,0,0,6,0,0,23,0,45,23,69,0,0,0,0,0,35,40,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,34,0,0,0,62,0,0,29,30,0
2013-05-01,6,32,16,15,16,0,5,0,0,55,0,28,0,0,4,0,0,0,0,37,0,75,0,0,0,0,0,25,0,54,0,0,0,6,26,0,0,0,0,0,0,55,0,0,42,0,0,0,0,0,0,0,0,37,0,0,0,17,0,0,0,100,0
2013-06-01,7,36,18,18,0,0,0,0,0,0,53,31,0,0,2,0,0,0,0,27,0,0,0,0,0,0,0,28,0,60,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,21,0,0,0,38,60,0,0,0,0
2013-07-01,8,0,16,8,0,0,0,0,0,0,0,15,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,29,0,0,27,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2013-08-01,11,0,15,11,0,30,11,0,0,55,0,41,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,42,0,53,0,0,0,0,26,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,17,0,0,0,0,0
2013-09-01,23,0,22,36,0,0,16,60,0,0,0,26,0,0,3,0,40,23,0,23,23,0,0,0,0,0,0,39,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,0,0,60,31,0
2013-10-01,34,55,20,34,0,0,43,28,0,0,0,36,0,54,7,0,73,0,0,42,0,0,0,0,0,0,48,47,38,0,0,0,19,5,23,0,0,54,0,0,0,46,0,0,0,0,0,4,0,0,0,38,0,20,0,0,0,45,0,0,28,58,0
2013-11-01,29,29,100,32,15,0,30,0,0,0,43,44,0,56,8,0,0,69,0,22,69,0,0,0,0,0,0,57,0,0,0,25,100,11,23,0,72,56,72,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,15,0,0,0,30,0
2013-12-01,28,28,61,44,14,52,10,55,0,0,0,48,33,0,13,0,0,0,33,21,0,65,0,0,0,0,0,62,0,0,0,71,19,16,67,0,69,0,0,0,0,0,0,0,0,0,0,8,0,0,42,0,56,16,0,0,0,14,46,0,55,28,0
2014-01-01,41,63,37,40,39,72,17,63,0,0,0,49,30,49,25,48,0,40,30,19,40,0,0,11,0,0,0,70,0,86,0,0,17,30,41,0,63,49,0,0,0,0,0,0,34,0,25,21,0,47,77,0,0,36,0,0,0,20,0,0,63,78,0
2014-02-01,34,28,48,30,0,0,14,27,0,97,0,54,49,0,9,0,0,22,49,32,22,0,62,0,0,0,49,84,38,0,0,24,0,8,89,70,0,0,0,0,0,0,0,0,0,68,0,12,0,0,0,0,0,24,0,0,0,29,0,0,27,29,47
