date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu in idaho,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,dog flu,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,how long does the flu last,fever flu,how long does flu last,food poisoning,influenza a,swine flu,over the counter flu,contagious flu,what to do if you have the flu,flu report,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,flu medicine,flu remedies,flu shot side effects,flu complications,treat flu,how to get rid of the flu,body temperature,h1n1 flu
2011-01-01,9,0,0,20,0,0,21,0,0,0,0,45,0,0,0,0,40,69,35,0,0,9,0,0,0,25,0,17,0,0,0,0,0,31,0,31,31,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,36,0,0,0,0,27,0,0,0,0,46,9,28,0,37,0,0,0,23,0,0,0,0,0,0,0,0,27,0,0,0,37,0,0,0,70,0,0,39,0,0,0,0,19,0
2011-02-01,20,0,0,0,0,0,32,0,0,47,0,0,0,0,0,0,67,0,72,0,0,15,0,0,6,0,18,35,0,0,0,0,0,32,0,33,0,0,0,0,0,0,0,0,0,69,0,0,0,38,0,0,76,0,0,86,85,28,0,0,28,0,34,0,10,0,0,0,0,0,48,24,0,0,0,0,0,29,0,0,29,0,0,0,0,0,37,37,0,0,40,0,0,0,0,39,10
2011-03-01,14,0,0,0,0,0,26,0,0,0,0,43,0,0,0,0,53,33,0,0,0,14,0,0,0,16,0,0,0,0,0,0,20,59,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,34,0,69,0,0,0,0,25,0,0,0,0,18,9,0,0,0,0,0,0,22,0,0,0,0,53,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
2011-04-01,9,0,20,20,0,0,6,0,0,0,0,0,0,0,0,0,49,0,0,0,0,6,0,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,9,9,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
2011-05-01,6,0,0,20,0,0,6,0,0,0,44,0,0,0,0,0,27,34,34,0,0,6,0,0,6,0,16,17,0,0,0,0,0,60,0,0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,26,9,9,0,9,0,36,0,0,0,22,0,0,0,27,27,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2011-06-01,7,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,30,0,0,0,0,6,0,0,6,0,0,18,0,0,0,0,0,67,0,34,0,0,0,0,0,0,18,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2011-07-01,5,0,0,23,0,0,10,0,0,0,0,49,0,0,0,0,27,39,0,0,0,6,0,0,0,0,0,0,0,0,0,0,24,35,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,20,0
2011-08-01,5,0,0,20,0,0,6,0,0,0,0,0,0,0,0,0,22,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,28,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,36,0,0,0,0,0,0,0,9,9
2011-09-01,14,0,0,20,0,0,24,0,0,0,0,0,0,0,0,0,33,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,27,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,9,9
2011-10-01,22,0,0,18,0,0,14,0,0,41,41,0,0,0,0,6,42,0,0,0,0,5,0,0,5,15,0,0,0,0,0,0,0,28,0,28,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,42,0,8,0,34,0,0,0,21,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,13,0
2011-11-01,20,0,0,0,0,0,11,0,0,41,40,0,0,0,0,6,25,0,0,0,0,11,5,0,5,15,0,0,0,0,0,0,76,28,0,0,0,14,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,17,29,17,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,32,0,0,0,0,0,0,9,0
