date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,arizona flu,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,stomach,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2011-01-01,17,0,42,63,0,0,8,0,15,0,61,0,46,0,0,49,3,3,0,0,16,7,0,7,5,0,16,0,0,0,0,23,12,18,54,36,0,0,0,0,0,0,20,12,0,44,0,0,0,0,18,0,0,28,0,0,28,9,26,13,9,4,17,6,8,0,0,0,90,8,0,19,34,32,16,0,16,0,49,1,1,9,0,9,0,13,32,26,26,17,35,17,0,0,0,58
2011-02-01,22,0,0,43,0,0,0,0,12,64,64,0,32,3,0,77,4,2,0,2,24,5,0,12,0,0,25,0,8,0,8,28,12,0,18,18,0,0,0,0,3,6,12,6,0,76,10,0,15,0,74,0,28,59,0,0,29,9,54,23,68,11,26,11,4,0,0,0,82,23,0,12,24,0,0,0,0,0,49,0,1,0,0,14,0,26,27,20,13,24,24,12,0,11,15,75
2011-03-01,13,39,0,0,0,0,7,7,11,28,28,0,28,0,0,69,1,3,0,0,10,4,0,4,4,0,0,0,0,0,0,25,0,16,0,0,0,0,0,0,0,5,11,5,0,54,0,0,0,0,0,33,16,0,0,0,0,8,36,8,12,4,10,8,4,0,0,0,76,7,0,7,45,15,15,15,15,0,48,0,1,8,0,12,0,0,0,24,18,0,11,21,0,7,7,53
2011-04-01,10,0,40,40,0,0,0,0,15,30,0,0,0,0,0,28,5,1,0,0,7,4,0,11,0,7,0,0,0,0,0,37,7,0,17,0,0,0,0,0,2,0,11,6,0,56,9,0,9,0,17,34,0,41,0,0,0,0,21,12,17,10,8,6,4,0,0,0,80,0,7,11,29,15,15,0,15,0,54,0,0,9,0,8,0,0,18,24,12,0,11,11,0,7,14,83
2011-05-01,8,0,0,38,0,0,0,0,7,0,42,0,28,0,2,37,1,2,0,0,6,0,0,4,4,14,14,0,0,0,0,28,0,16,16,16,0,0,0,0,2,0,10,0,0,57,0,0,9,16,0,0,0,0,0,0,52,0,16,0,24,4,8,4,4,0,0,0,86,0,0,10,38,14,29,0,29,0,55,0,0,0,0,8,0,0,35,17,23,0,10,0,0,0,0,30
2011-06-01,6,0,0,41,0,0,0,0,0,0,61,0,0,0,1,32,3,0,0,0,4,0,0,7,4,8,0,0,0,0,8,23,0,0,18,0,0,0,0,0,0,6,23,0,0,34,10,0,0,0,0,18,0,56,0,0,0,0,13,0,17,4,4,8,0,0,0,0,92,0,0,0,22,0,16,0,0,0,59,0,0,0,0,0,0,0,32,19,0,0,11,11,0,7,0,36
2011-07-01,5,0,0,0,0,0,0,0,0,32,0,0,0,0,0,28,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,12,8,0,18,18,0,0,0,0,0,6,0,0,0,20,0,0,0,0,0,0,18,0,0,0,0,0,9,0,9,0,13,9,4,0,0,0,79,0,0,0,19,0,0,0,0,0,48,0,0,9,0,9,0,0,13,13,39,0,18,0,0,7,0,48
2011-08-01,7,0,0,0,0,0,0,7,0,0,0,0,0,0,1,29,0,2,0,0,4,8,0,0,0,7,15,0,0,0,0,14,7,0,17,0,0,0,0,0,2,0,5,0,0,46,0,0,9,0,0,17,33,0,27,0,0,0,12,8,8,4,0,14,0,0,0,0,87,0,0,0,32,0,0,0,15,0,51,0,0,8,0,0,0,0,12,0,12,0,0,11,0,7,0,48
2011-09-01,18,0,41,0,0,0,0,0,15,0,30,0,30,0,0,33,3,1,0,0,12,0,0,7,4,8,15,0,0,0,0,19,0,0,34,17,17,0,0,0,0,6,14,6,0,24,0,0,0,0,0,17,0,28,0,0,0,0,8,0,8,8,6,20,0,0,0,0,93,0,0,15,33,0,0,0,15,0,46,0,1,0,0,0,0,0,0,19,12,11,11,11,0,0,0,53
2011-10-01,22,0,0,0,0,0,7,0,10,0,0,0,0,0,0,39,1,1,0,2,11,4,0,6,4,7,14,0,0,7,10,7,7,0,0,0,0,0,0,0,2,0,18,0,0,52,9,0,9,0,16,0,0,25,0,0,51,0,31,0,20,4,4,21,8,0,0,0,80,7,0,20,47,0,0,0,14,0,49,0,1,8,0,8,0,0,34,23,34,0,10,0,0,0,0,68
2011-11-01,15,0,38,0,38,0,7,7,14,0,42,0,0,0,0,62,3,2,0,1,14,8,0,14,0,0,14,0,0,0,0,34,7,0,0,0,16,0,0,0,4,5,16,0,0,31,9,9,17,0,16,0,16,51,0,0,51,0,16,0,23,0,4,8,0,0,0,0,61,7,0,20,51,14,14,0,14,0,51,0,0,8,0,24,0,0,23,0,11,31,21,21,0,7,6,72
2011-12-01,13,0,0,36,0,0,0,7,10,0,40,0,26,0,1,56,7,4,0,0,14,4,0,17,4,7,20,0,0,0,7,17,0,0,15,0,0,0,0,0,2,10,7,0,0,29,8,0,8,0,0,0,0,49,0,0,0,0,7,7,19,5,11,18,4,0,0,0,62,6,0,7,39,0,14,0,27,0,49,0,0,8,0,0,0,0,27,22,22,20,10,0,10,0,0,31
2012-01-01,13,0,0,0,33,0,0,0,12,49,61,0,24,1,0,51,3,4,0,0,12,4,0,16,4,6,56,0,6,0,0,15,6,0,0,0,14,0,0,0,2,0,9,5,0,42,8,0,8,14,0,14,0,22,0,0,22,0,17,7,27,7,10,7,3,0,0,0,73,12,6,18,30,0,13,13,25,0,58,0,0,0,0,10,0,0,25,10,25,0,18,14,0,6,0,69
2012-02-01,13,0,0,0,35,0,0,0,6,0,0,0,26,0,2,67,3,2,0,1,12,4,0,15,0,0,20,0,0,0,10,38,13,0,30,0,15,0,0,0,3,5,7,0,0,57,8,0,16,0,15,0,0,24,0,47,47,0,15,7,15,7,4,4,4,0,0,0,77,0,0,9,38,0,27,0,0,0,57,0,1,0,0,7,7,11,21,11,11,0,14,10,0,6,0,55
2012-03-01,17,0,0,0,0,0,6,6,6,24,24,0,47,0,0,65,4,3,0,1,14,3,0,19,5,12,30,0,0,12,6,32,18,0,27,14,0,0,0,0,3,4,18,7,0,41,11,7,15,14,27,0,14,22,22,22,0,10,33,10,37,3,13,10,3,0,0,0,75,6,0,26,35,12,12,12,12,0,62,1,1,7,0,17,0,0,54,29,20,18,13,35,18,6,6,72
