date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,cdc,type a influenza,influenza incubation period,thermoscan,how to treat the flu,nc flu,how long does the flu last,flu virus,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,cdc flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2011-01-01,20,25,0,51,26,0,0,3,3,28,14,0,42,1,62,10,4,0,0,12,15,0,16,1,16,39,6,0,19,7,4,22,0,18,23,14,0,0,0,1,1,17,9,0,26,9,9,9,0,5,10,10,0,39,0,0,2,0,15,6,6,29,10,13,9,3,15,0,3,5,3,26,24,0,28,0,0,0,0,8,4,7,3,5,15,62,2,4,9,10,10,6,6,4,4,59
2011-02-01,23,0,27,54,27,3,0,10,10,0,15,0,29,1,66,16,2,0,0,24,33,0,28,4,29,34,0,0,89,4,0,27,8,10,33,24,14,0,0,1,3,14,18,0,28,9,9,28,9,32,32,11,11,45,1,0,0,2,27,8,9,36,13,18,7,4,23,0,0,6,0,33,24,11,26,7,11,9,9,47,0,4,0,23,23,84,0,3,8,7,27,17,7,21,4,82
2011-03-01,8,0,0,0,0,3,0,3,0,0,0,0,0,1,38,11,2,0,1,9,7,0,19,6,16,25,0,0,12,0,0,24,7,0,34,17,9,0,0,1,1,8,0,0,17,0,0,8,8,19,5,5,0,39,0,0,1,0,9,19,4,15,15,8,4,0,6,0,6,13,3,10,15,7,7,7,13,0,0,27,4,3,0,3,6,40,1,4,3,0,9,6,6,0,4,64
2011-04-01,7,0,25,52,0,3,0,3,0,0,0,0,0,0,40,8,2,0,0,10,5,0,13,2,10,0,0,0,7,0,4,11,7,9,36,9,14,0,0,0,1,9,0,0,18,9,9,9,0,10,15,5,0,35,0,0,0,0,3,11,5,17,13,12,3,3,3,0,0,3,0,23,19,7,21,0,0,0,0,37,0,7,3,7,3,37,0,2,8,6,19,6,6,4,4,43
2011-05-01,5,0,0,0,0,0,0,0,3,13,27,0,0,1,38,8,1,0,0,6,4,0,13,3,9,0,0,0,0,0,0,36,4,0,17,9,17,0,0,0,2,0,8,0,8,9,0,17,0,0,10,0,0,58,0,0,0,0,7,9,3,5,8,2,4,0,6,3,0,3,0,15,8,14,7,0,7,0,0,23,0,7,0,3,6,45,0,3,2,6,6,6,0,4,0,35
2011-06-01,3,0,0,0,26,0,0,0,0,14,28,0,0,1,27,2,2,0,0,1,1,0,3,1,2,7,0,7,0,0,0,19,0,0,0,0,18,0,0,0,0,9,9,0,22,0,0,0,0,0,0,5,0,38,0,0,1,0,4,2,4,6,0,3,3,0,0,0,0,5,0,5,17,0,0,0,0,0,0,0,0,0,0,3,0,27,0,3,2,6,0,0,0,0,0,31
2011-07-01,2,0,0,0,0,0,0,0,0,14,27,0,0,0,22,0,0,0,0,2,1,0,0,0,1,6,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,2,0,3,8,0,3,5,0,0,0,3,0,0,3,16,0,0,0,7,0,0,4,0,3,0,3,0,24,0,2,2,0,6,0,0,0,0,32
2011-08-01,5,0,0,0,0,0,0,0,3,0,0,0,0,0,28,2,2,0,0,2,1,0,4,1,5,0,0,0,6,0,0,7,0,0,8,0,0,0,0,0,0,0,8,0,8,0,0,0,0,5,0,9,0,34,0,0,0,0,4,0,3,10,0,6,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,15,0,3,0,5,0,20,0,0,3,6,0,6,0,0,0,18
2011-09-01,11,0,23,24,0,0,6,0,0,0,13,0,0,0,35,3,2,0,0,6,6,0,5,3,4,12,0,0,12,0,0,10,0,0,17,0,0,0,0,0,1,8,8,0,32,8,8,8,0,9,5,0,0,46,0,0,0,0,14,0,4,9,4,9,29,0,0,0,0,0,0,5,18,0,0,0,6,0,0,11,0,0,0,9,0,46,0,2,3,6,18,6,6,0,0,60
2011-10-01,16,0,0,0,23,0,0,3,3,0,0,0,0,0,51,3,3,0,0,8,8,0,5,0,6,6,6,0,17,0,3,26,0,8,8,8,0,0,1,0,1,8,11,0,8,8,0,8,0,0,0,4,0,40,0,0,0,0,11,4,4,6,2,8,33,6,6,0,0,2,2,12,21,0,21,0,9,4,4,0,4,6,0,9,6,52,0,5,3,11,14,6,6,4,0,43
2011-11-01,10,0,0,22,22,0,0,3,8,0,12,0,12,1,58,3,3,0,0,10,6,0,6,1,8,63,0,0,17,0,6,32,10,8,16,8,16,0,0,0,1,19,7,0,8,12,0,15,8,9,4,9,4,37,1,0,1,0,9,3,4,10,5,8,19,3,7,0,0,3,0,10,18,9,9,0,6,0,4,11,0,9,0,9,7,50,0,1,3,11,14,11,0,0,0,49
2011-12-01,8,0,0,21,21,0,0,5,0,0,23,0,0,0,55,3,1,0,0,6,8,0,6,1,4,5,0,0,5,0,3,21,9,7,8,0,0,0,0,1,0,7,7,0,18,7,0,0,0,8,0,4,4,23,0,0,0,1,5,4,5,22,2,5,7,0,8,0,3,5,0,7,15,0,0,0,12,0,0,0,0,3,0,6,8,53,0,2,1,5,8,5,0,3,0,64
2012-01-01,8,0,0,0,37,0,2,0,5,10,10,10,0,0,55,4,3,0,0,7,10,0,7,0,5,19,0,0,10,3,3,19,0,0,17,0,0,0,1,1,1,0,6,0,10,13,0,6,6,4,4,11,4,24,0,0,0,0,5,2,7,32,3,9,5,2,6,0,2,2,2,14,21,5,0,5,5,0,0,12,3,7,0,2,6,57,0,6,2,5,9,23,0,3,0,57
2012-02-01,10,0,0,0,0,0,0,5,5,0,11,0,0,0,57,2,2,0,0,7,11,0,4,5,8,20,0,0,15,0,3,39,3,0,7,10,7,0,0,0,1,7,0,0,10,7,0,7,0,15,8,12,0,33,0,0,0,0,10,2,6,32,4,6,5,0,3,0,0,0,0,18,19,0,21,0,32,0,0,19,0,3,0,8,3,55,0,8,2,10,7,15,10,3,0,46
2012-03-01,6,19,0,0,0,0,0,0,7,0,10,0,0,0,48,2,3,0,0,5,6,0,4,1,7,5,5,0,10,3,3,36,0,0,7,0,7,0,0,0,0,0,7,0,10,16,0,0,0,8,4,0,0,33,0,0,0,0,4,1,2,18,3,4,5,2,6,0,0,2,2,12,16,5,5,0,0,3,0,12,9,2,0,4,6,45,0,3,0,7,7,7,0,3,3,45
2012-04-01,6,20,0,0,0,0,0,0,2,0,0,11,0,0,43,1,3,0,0,4,5,0,2,1,4,21,0,0,10,3,3,12,3,0,18,0,0,0,1,0,0,7,0,0,21,7,0,0,0,8,4,8,0,37,0,0,0,0,5,1,4,7,2,9,2,0,7,0,0,0,2,5,13,6,0,6,0,0,0,3,3,0,0,8,7,45,0,3,5,5,15,5,0,0,0,63
2012-05-01,4,0,0,0,0,2,0,0,2,0,20,0,0,0,39,2,1,0,0,4,3,0,3,0,5,29,0,0,0,0,3,24,8,0,13,7,0,0,0,0,0,6,6,0,13,0,0,0,0,0,11,7,0,26,0,0,0,0,3,1,5,15,5,4,2,0,2,0,2,2,0,8,13,0,0,0,5,3,0,3,3,4,0,2,2,38,0,3,3,5,5,5,0,0,3,50
2012-06-01,3,0,0,20,20,0,0,0,0,11,0,0,0,0,37,1,2,0,0,2,3,0,1,0,3,10,5,0,5,3,0,12,6,0,0,7,0,0,0,0,0,0,7,0,14,0,0,0,0,4,0,0,0,37,0,0,1,0,1,1,3,5,0,3,4,0,0,0,0,2,0,4,9,6,0,0,17,0,0,3,0,5,0,3,0,42,0,1,1,0,5,5,0,0,0,50
2012-07-01,4,0,0,0,0,0,0,0,0,0,10,0,10,0,37,1,3,0,0,1,2,0,2,1,3,5,5,0,10,0,0,14,0,7,16,7,0,0,0,0,0,0,6,0,19,0,0,0,0,0,4,0,0,30,0,0,0,1,3,0,5,8,2,2,4,0,2,0,0,2,0,6,11,10,0,0,5,0,3,0,0,0,0,2,2,35,0,5,0,0,0,5,0,3,3,53
2012-08-01,5,0,0,0,18,0,0,0,4,10,10,0,0,0,40,1,2,0,0,4,3,0,2,1,2,5,0,0,0,0,0,13,0,0,6,6,19,0,0,0,1,6,12,0,12,0,0,6,0,0,0,4,0,41,0,0,0,0,6,1,3,5,3,6,4,0,2,0,0,2,0,5,14,0,5,0,10,0,0,3,0,5,0,5,2,32,0,3,2,4,0,5,0,3,3,46
2012-09-01,10,0,18,18,18,2,0,0,2,0,30,0,0,1,45,3,3,0,0,8,4,0,5,0,7,18,0,0,9,0,0,16,5,0,16,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,4,0,39,0,0,0,0,10,2,4,9,3,7,23,2,2,0,0,2,0,6,20,5,5,5,5,0,3,11,3,5,0,4,2,71,0,6,2,5,14,9,0,0,0,66
