date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,michigan flu,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,flu in michigan,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu
2011-01-01,18,24,0,0,47,11,0,0,2,6,7,0,0,1,0,1,48,9,13,17,3,20,15,0,0,6,16,3,13,0,13,0,13,17,26,9,0,2,8,0,0,0,11,11,11,7,37,15,7,0,17,0,17,2,1,0,32,0,17,100,0,3,4,66,3,19,8,3,3,0,0,14,0,61,9,17,26,9,12,0,23,0,6,0,11,42,2,5,6,33,11,16,22,0,19,0,0
2011-02-01,20,50,50,74,0,22,0,0,1,8,6,4,0,0,0,1,64,14,14,18,0,18,21,1,0,6,18,3,13,0,48,27,0,46,46,9,0,2,6,0,0,11,17,12,12,8,70,15,0,9,9,0,36,1,2,1,41,0,18,79,18,6,10,30,10,11,6,7,6,0,0,15,10,46,9,0,37,12,28,0,12,0,12,0,12,58,2,8,4,23,12,17,29,0,20,100,0
2011-03-01,13,0,0,0,0,16,0,1,1,3,3,0,3,0,0,2,55,11,8,14,0,12,9,1,0,0,12,4,8,0,12,0,12,16,58,0,8,0,3,0,0,10,10,10,10,21,63,14,0,8,8,16,8,1,1,1,35,0,0,24,16,4,2,28,5,9,9,0,3,0,9,13,0,54,8,8,8,8,6,0,6,5,16,0,21,56,0,4,4,21,10,0,42,0,18,0,0
2011-04-01,8,0,0,0,22,10,0,0,0,3,0,0,0,0,0,2,42,7,8,5,0,8,6,0,0,0,16,5,8,0,12,0,0,0,41,0,16,0,1,0,0,0,10,10,10,0,27,0,0,0,8,0,8,1,0,0,33,0,16,15,0,4,7,23,4,8,3,0,0,0,0,9,0,37,12,0,8,11,22,0,0,0,10,0,0,49,0,4,2,0,16,10,10,0,0,0,0
2011-05-01,6,22,0,0,0,3,0,0,0,3,0,0,0,0,0,1,34,3,3,11,0,7,4,1,0,3,7,0,3,0,12,0,0,0,40,0,16,1,3,0,0,0,0,0,0,20,27,7,7,0,0,0,8,0,0,1,53,0,16,0,0,4,4,19,4,9,3,3,0,0,0,13,0,28,0,0,12,11,11,0,0,5,0,5,16,45,0,1,6,0,0,10,0,0,0,0,0
2011-06-01,5,0,0,0,0,5,0,0,0,3,3,3,0,0,0,2,31,3,3,3,0,3,2,1,0,0,5,3,3,0,0,0,12,0,48,0,0,0,1,0,0,10,20,0,0,0,54,0,0,8,16,0,8,0,0,0,35,0,16,31,0,2,2,15,2,4,4,0,0,9,0,0,0,32,0,0,0,0,5,0,0,0,0,0,0,26,0,4,3,0,0,10,0,0,0,0,18
2011-07-01,4,0,0,0,0,5,0,0,0,7,0,0,0,0,0,1,23,8,0,3,0,2,3,0,0,0,3,6,0,0,0,0,25,8,17,0,0,0,1,0,0,0,0,0,0,0,49,7,0,0,0,0,17,0,0,2,29,0,16,0,0,2,0,8,2,3,7,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,11,0,0,19,0,0,1,0,0,11,11,0,0,0,0
2011-08-01,4,0,0,0,0,4,0,0,0,8,0,0,0,0,1,1,26,6,2,8,0,4,2,1,0,0,6,5,2,11,0,0,11,8,53,0,0,0,2,0,0,9,0,0,19,6,25,0,0,7,0,0,7,0,0,1,31,0,14,57,0,0,2,8,0,5,7,0,0,0,0,0,0,30,0,0,0,15,5,0,0,5,0,0,0,21,0,1,3,9,0,9,0,0,0,0,0
2011-09-01,13,0,0,0,0,10,0,0,1,44,3,3,3,0,0,1,32,3,4,12,0,9,4,0,0,0,8,5,4,0,17,0,0,0,31,0,8,0,28,0,1,10,10,10,19,6,32,6,0,8,0,0,8,1,0,1,29,0,15,74,15,5,4,12,5,7,34,0,0,0,8,8,0,62,15,8,0,10,10,5,0,0,5,0,5,27,0,4,3,0,19,0,0,0,0,0,17
2011-10-01,19,0,19,0,0,10,0,0,0,75,0,0,3,0,1,2,50,5,8,21,0,14,9,0,0,7,16,2,8,0,10,10,21,0,28,0,14,0,45,0,0,9,9,9,9,12,30,24,0,7,7,7,14,1,0,1,33,14,20,47,14,3,9,17,3,13,42,0,0,0,0,0,0,60,7,0,7,0,26,5,5,0,5,0,5,58,0,6,4,0,9,18,27,15,0,0,0
