date,flu,bird flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,the flu,flu symptoms,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,is the flu contagious,flu vs cold,flu symptoms 2018,human temperature,high fever,spanish flu,cold vs flu,influenza symptoms,the flu virus,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,keto flu,flu contagious,bronchitis,oscillococcinum,flu medicine,body temperature
2012-05-01,3,65,0,24,0,0,0,17,0,0,0,0,0,0,0,75,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,46,0,0,0,0,0,0,0,0,0,33
2012-06-01,5,0,0,42,0,0,0,25,13,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,64,0,0,50,0,100,0,0,0,0,36,0,0,0
2012-07-01,7,0,0,0,0,0,0,0,12,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,28,0,0,0,0,0,48,0,0,0,0,0,0,17,0,0,34
2012-08-01,10,0,0,31,0,0,0,11,12,0,0,42,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,42,0,0,0,0,0,25,0,0,71,46,0,0,0,0,0,0,50,0,0,0
2012-09-01,12,0,0,30,41,0,0,11,12,41,0,40,0,0,0,0,0,0,0,0,0,50,0,0,0,59,0,40,0,0,0,26,0,49,0,0,0,0,100,0,0,0,0,0,16,0,0,0
2012-10-01,16,0,0,13,0,0,0,10,0,0,0,0,0,32,0,0,0,0,0,0,0,45,0,0,0,0,70,0,0,0,34,0,0,22,0,0,0,40,0,0,34,0,0,0,22,0,0,28
2012-11-01,21,57,0,34,0,0,33,10,32,0,0,74,0,33,0,0,32,0,0,0,0,0,0,0,0,0,0,37,0,0,0,24,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,57
2012-12-01,43,0,0,54,0,0,0,10,47,0,0,0,0,32,77,0,0,0,0,0,0,0,0,0,49,0,0,0,92,0,0,94,81,0,0,66,0,0,0,0,0,46,0,66,51,0,0,0
2013-01-01,72,0,0,37,34,0,0,63,67,34,73,67,0,30,24,0,29,0,0,0,0,42,68,0,23,0,0,0,84,66,62,21,0,20,0,60,0,0,0,74,31,42,0,60,27,0,0,26
2013-02-01,30,0,0,46,0,0,0,44,10,0,0,36,0,0,25,0,0,98,0,0,44,0,0,0,24,0,70,0,0,71,33,0,0,0,100,65,0,0,0,0,33,45,0,65,21,0,0,0
2013-03-01,17,0,0,61,0,40,0,22,19,0,0,0,0,0,23,0,28,92,0,0,0,0,0,0,34,0,0,0,0,0,31,42,0,0,0,60,55,0,0,0,0,41,0,60,26,51,72,0
2013-04-01,12,100,0,60,0,39,0,18,9,0,0,32,0,29,0,0,28,0,0,0,0,40,0,0,0,0,0,32,0,0,30,0,0,0,0,0,0,35,0,0,30,0,0,0,19,0,0,0
2013-05-01,8,0,0,19,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,34,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,27,0,0,26
2013-06-01,9,0,0,22,0,0,0,0,11,0,0,0,0,0,0,0,100,0,0,0,0,48,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
2013-07-01,7,0,0,51,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,27
2013-08-01,8,51,0,37,0,40,0,9,19,0,0,0,0,0,24,59,0,0,0,0,0,41,67,0,0,0,0,0,0,0,31,21,0,0,0,0,0,36,0,0,31,0,0,0,0,0,0,0
2013-09-01,7,0,0,12,32,0,0,9,18,32,0,32,0,28,0,55,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,53,0,0,0,0,0,0,0,13,0,0,24
2013-10-01,35,0,0,28,31,73,54,24,13,31,0,30,0,54,21,0,26,84,0,0,37,38,0,0,20,0,0,0,0,0,28,39,0,0,0,0,0,33,0,0,28,38,0,0,30,0,0,23
2013-11-01,20,0,0,58,32,0,0,21,9,32,0,0,0,0,0,0,0,0,0,0,0,39,0,0,21,0,0,0,0,0,0,20,0,38,0,0,0,0,0,0,0,0,0,0,12,0,68,24
2013-12-01,27,46,0,34,31,0,0,16,22,31,0,62,0,27,0,0,0,0,85,0,0,77,0,77,0,0,0,0,77,0,28,78,67,0,42,55,0,0,0,0,28,38,0,55,24,0,67,0
2014-01-01,35,0,0,57,28,34,0,26,32,28,61,56,0,0,20,49,0,0,77,0,0,35,0,70,37,0,0,0,0,0,0,0,0,17,0,51,0,0,69,0,0,35,0,51,28,43,0,0
2014-02-01,15,0,0,39,30,0,0,12,9,30,66,0,0,54,0,0,52,0,0,0,75,76,0,0,20,0,0,0,0,0,0,19,67,18,0,55,0,33,0,66,0,0,0,55,42,0,0,47
2014-03-01,12,0,60,47,28,0,0,15,16,28,0,28,0,0,0,0,0,0,0,0,35,0,0,0,39,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,35,0,0,34,0,0,0
2014-04-01,13,0,0,21,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,17,0,50,0,60,0,0,0,0,0,50,39,0,0,21
2014-05-01,10,0,0,17,31,0,0,17,9,31,67,31,0,0,43,0,40,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,18,0,0,24
2014-06-01,7,0,0,27,0,0,0,20,31,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,40,0,0,0,0,0,0,30,0,0,28
2014-07-01,5,0,0,13,0,0,0,0,15,0,0,36,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,64,0,39,88,0,0,44,0,64,0,0,0,0
2014-08-01,9,0,0,32,0,0,0,0,0,0,0,35,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,43,0,0,34,0,0,27
2014-09-01,22,0,0,46,0,0,0,17,9,0,0,32,0,0,0,0,0,0,85,0,0,39,64,0,0,0,0,31,0,0,29,20,0,0,0,0,0,0,0,0,29,0,0,0,12,0,0,48
2014-10-01,28,0,0,44,0,0,0,16,9,0,0,60,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,59,0,0,0,0,0,27,0,0,0,0,0,0,0,37,0,0,35,0,0,23
2014-11-01,22,0,0,67,46,0,0,21,17,46,0,0,0,0,0,0,39,0,0,0,0,38,0,0,20,0,0,30,0,0,28,19,67,18,0,0,0,100,0,0,28,38,0,0,24,0,0,0
