date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,flu in kansas,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,free flu shots,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2011-01-01,14,0,0,0,0,4,0,0,2,8,0,0,0,0,0,3,34,21,42,0,0,11,2,0,6,25,8,17,0,0,0,0,41,36,0,0,18,4,0,0,0,0,0,0,0,39,19,0,0,0,0,8,0,4,47,0,4,29,45,0,30,12,50,6,35,11,11,11,11,0,0,0,19,0,0,0,0,0,0,15,15,0,0,0,15,47,0,6,6,0,0,25,0,0,0,15,30
2011-02-01,13,63,63,0,0,11,0,0,2,8,0,0,0,0,0,3,53,44,22,0,0,17,0,0,4,17,0,9,0,14,14,0,71,19,0,19,0,5,0,0,0,0,7,0,0,40,0,0,0,0,0,0,17,0,46,0,0,31,94,0,0,0,28,12,28,24,0,12,12,20,0,0,20,34,52,0,34,0,16,16,0,0,0,0,24,75,12,12,6,0,27,27,0,0,0,0,55
2011-03-01,12,0,58,0,0,12,3,0,0,0,0,0,0,3,0,0,45,20,20,0,0,9,0,0,0,12,0,8,0,13,0,0,26,18,0,18,0,5,0,0,0,0,7,0,0,19,0,0,0,8,0,8,8,4,55,4,0,29,29,0,0,6,34,11,23,0,0,0,11,19,19,0,28,0,0,32,0,0,0,15,0,0,0,0,15,46,0,0,9,25,25,50,25,15,0,0,15
2011-04-01,5,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,36,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,20,18,0,0,0,8,0,0,0,0,0,0,0,19,19,0,0,0,0,8,8,0,43,0,0,0,59,0,0,12,12,0,17,0,11,0,0,0,0,0,29,0,0,0,0,0,0,0,0,15,0,0,0,41,0,0,0,0,25,25,0,0,0,0,30
2011-05-01,5,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,17,20,21,0,0,2,0,0,0,0,0,8,0,0,0,0,13,45,0,0,0,0,0,0,0,0,0,0,0,56,19,19,0,0,0,8,8,4,88,0,0,0,88,0,0,0,14,0,29,0,0,0,11,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,15,26,0,6,0,0,0,0,0,0,0,0,30
2011-06-01,4,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,23,45,23,0,0,4,0,0,0,9,9,9,0,0,0,0,15,29,0,20,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,51,0,0,0,32,0,32,6,13,0,25,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,16
2011-07-01,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,0,44,0,0,6,0,0,0,9,0,17,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,38,0,0,0,63,0,0,6,12,0,22,12,0,0,0,0,0,0,41,0,0,0,34,0,0,16,0,0,0,0,0,16,0,0,6,0,0,0,0,0,0,0,63
2011-08-01,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,52,52,0,0,17,4,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,53,0,4,0,0,0,0,6,11,0,23,0,0,0,0,0,0,0,38,0,0,0,0,0,15,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,43
2011-09-01,11,0,0,0,0,3,0,0,0,35,0,0,0,2,0,2,21,0,19,0,0,2,0,0,0,15,0,8,0,0,0,0,12,33,0,17,0,21,0,0,0,0,13,0,0,35,0,0,0,0,0,0,0,5,38,0,3,0,41,0,0,0,11,5,22,41,0,0,0,0,36,0,36,0,0,0,0,0,0,14,14,0,0,0,0,27,0,0,5,0,46,0,23,0,0,0,62
2011-10-01,20,0,0,0,0,6,0,0,0,33,0,0,0,0,0,2,26,0,28,0,0,6,2,0,2,7,0,11,0,0,0,0,12,0,16,16,0,35,0,0,0,6,0,0,0,17,0,0,0,0,0,0,7,0,49,0,5,0,26,0,0,5,18,0,13,40,0,0,10,0,0,0,43,0,0,0,0,0,13,13,0,0,13,13,13,39,0,16,5,0,0,0,34,0,0,0,47
